feedback_id,submitted_at,user_id,hotspot_id,location,metro,rating,category,feedback_text,platform,status,source,cleaned_text,token_count,dominant_topic,topic_confidence,topic_probabilities
FB0001,2026-04-01T12:06:30Z,USER141,H011,Waterkloof Ridge,Gauteng,2,Incident Reporting,Adding a location while reporting was difficult on my phone and I had to repeat the process. Please save unfinished reports automatically.,Web,resolved,mock,adding location reporting difficult phone repeat process save unfinished reports automatically,11,topic_1,0.505055,"[0.505055, 0.005051, 0.005051, 0.005052, 0.005051, 0.459587, 0.005051, 0.005051, 0.005052]"
FB0002,2026-04-02T19:02:04Z,USER131,H014,Centurion Central,Gauteng,2,Incident Reporting,The form cleared my description before the report was sent during a stressful situation. A clear confirmation screen would make reporting easier.,Web,reviewed,mock,form cleared description report sent stressful situation clear confirmation screen reporting easier,12,topic_4,0.541179,"[0.004632, 0.00463, 0.00463, 0.541179, 0.004631, 0.00463, 0.00463, 0.00463, 0.426409]"
FB0003,2026-04-03T09:16:59Z,USER058,H010,Bedfordview,Gauteng,3,Incident Reporting,I was unsure whether my report had been submitted successfully despite having a stable internet connection. A clear confirmation screen would make reporting easier. This area mainly receives home invasion warnings.,iOS,resolved,mock,unsure whether report submitted successfully despite stable internet connection clear confirmation screen reporting easier home invasion warnings,17,topic_1,0.488632,"[0.488632, 0.003268, 0.003268, 0.48849, 0.003268, 0.003268, 0.003268, 0.003268, 0.003269]"
FB0004,2026-04-03T14:45:16Z,USER172,H010,Bedfordview,Gauteng,5,Positive Experience,The neighbourhood chat helped residents coordinate effectively while keeping the community informed. I would recommend this feature to other neighbourhood groups. This area mainly receives home invasion warnings.,Android,resolved,mock,neighbourhood chat helped residents coordinate effectively keeping community informed recommend feature neighbourhood groups home invasion warnings,16,topic_3,0.972216,"[0.003473, 0.003473, 0.972216, 0.003473, 0.003475, 0.003473, 0.003473, 0.003473, 0.003473]"
FB0005,2026-04-04T01:59:36Z,USER174,H007,Garsfontein,Gauteng,2,Safety Alerts,Several alerts appeared together instead of arriving in real time when residents needed immediate information. Please make urgent notifications faster and more reliable.,Web,new,mock,several alerts appeared together instead arriving real time residents needed immediate information urgent notifications faster reliable,16,topic_3,0.972221,"[0.003472, 0.003472, 0.972221, 0.003472, 0.003472, 0.003472, 0.003473, 0.003473, 0.003472]"
FB0006,2026-04-04T05:02:21Z,USER092,H007,Garsfontein,Gauteng,2,Safety Alerts,The safety alert arrived long after the incident was reported when residents needed immediate information. Critical warnings should be prioritised over ordinary updates.,Web,new,mock,safety alert arrived long incident reported residents needed immediate information critical warnings prioritised ordinary updates,15,topic_1,0.592853,"[0.592853, 0.003833, 0.380322, 0.003832, 0.003832, 0.003832, 0.003833, 0.003831, 0.003832]"
FB0007,2026-04-04T13:37:19Z,USER030,H005,Sea Point,Cape Town,3,Location Accuracy,The street name and map marker did not match which made the warning confusing. Showing both the street and nearest landmark would improve accuracy.,Mobile Web,reviewed,mock,street name map marker match made warning confusing showing street nearest landmark accuracy,13,topic_6,0.696591,"[0.004274, 0.004274, 0.004274, 0.004274, 0.273494, 0.696591, 0.004274, 0.004274, 0.004274]"
FB0008,2026-04-04T15:06:18Z,USER036,H003,Bryanston,Gauteng,3,Community Chat,It is difficult to distinguish verified updates from general discussion although moderation controls are still needed. Verified security updates should be visually distinct. This area mainly receives home invasion warnings.,Web,reviewed,mock,difficult distinguish verified updates general discussion although moderation controls still needed verified security updates visually distinct home invasion warnings,19,topic_2,0.835936,"[0.002925, 0.835936, 0.002925, 0.143591, 0.002924, 0.002925, 0.002924, 0.002925, 0.002925]"
FB0009,2026-04-04T19:00:51Z,USER046,H005,Sea Point,Cape Town,3,Location Accuracy,A nearby incident was assigned to the wrong community causing unnecessary concern in another neighbourhood. Allow reporters to adjust the pin before submitting. This area mainly receives vehicle theft warnings.,Web,resolved,mock,nearby incident assigned wrong community causing unnecessary concern another neighbourhood allow reporters adjust pin submitting vehicle theft warnings,18,topic_6,0.584473,"[0.003087, 0.003087, 0.003087, 0.003087, 0.393919, 0.584473, 0.003087, 0.003087, 0.003087]"
FB0010,2026-04-05T02:34:50Z,USER013,H002,Somerset West,Cape Town,2,Community Chat,The chat helped residents share information about a recent concern without requiring a separate messaging application. Verified security updates should be visually distinct. This area mainly receives home invasion warnings.,Android,reviewed,mock,chat helped residents share information recent concern without requiring separate messaging application verified security updates visually distinct home invasion warnings,20,topic_2,0.491991,"[0.002779, 0.491991, 0.002779, 0.00278, 0.002778, 0.002778, 0.002778, 0.488558, 0.002779]"
FB0011,2026-04-05T08:41:17Z,USER084,H012,Menlo Park,Gauteng,1,Location Accuracy,The street name and map marker did not match when accurate directions were particularly important. Allow reporters to adjust the pin before submitting.,Web,resolved,mock,street name map marker match accurate directions particularly important allow reporters adjust pin submitting,14,topic_6,0.968254,"[0.003968, 0.003968, 0.003968, 0.003968, 0.003968, 0.968254, 0.003968, 0.003968, 0.003968]"
FB0012,2026-04-05T19:13:02Z,USER009,H005,Sea Point,Cape Town,2,Safety Alerts,The notification was delayed and lacked a clear incident time during a period of increased neighbourhood activity. A delivery timestamp would help residents judge whether an alert is current.,Mobile Web,resolved,mock,notification delayed lacked clear incident time period increased neighbourhood activity delivery timestamp help residents judge whether alert current,18,topic_3,0.975305,"[0.003088, 0.003087, 0.975305, 0.003087, 0.003087, 0.003087, 0.003086, 0.003086, 0.003087]"
FB0013,2026-04-05T23:00:13Z,USER021,H001,Rondebosch,Cape Town,3,Application Performance,Messages occasionally appear only after I refresh the browser on a normal mobile connection. Older messages should load only when requested.,Mobile Web,reviewed,mock,messages occasionally appear refresh browser normal mobile connection older messages load requested,12,topic_4,0.921345,"[0.00463, 0.00463, 0.00463, 0.921345, 0.00463, 0.046246, 0.00463, 0.004631, 0.00463]"
