feedback_id,submitted_at,user_id,hotspot_id,location,metro,rating,category,feedback_text,platform,status,source,cleaned_text,token_count
FB0001,2026-04-01T12:06:30Z,USER141,H011,Waterkloof Ridge,Gauteng,2,Incident Reporting,Adding a location while reporting was difficult on my phone and I had to repeat the process. Please save unfinished reports automatically.,Web,resolved,mock,adding location reporting difficult phone repeat process save unfinished reports automatically,11
FB0002,2026-04-02T19:02:04Z,USER131,H014,Centurion Central,Gauteng,2,Incident Reporting,The form cleared my description before the report was sent during a stressful situation. A clear confirmation screen would make reporting easier.,Web,reviewed,mock,form cleared description report sent stressful situation clear confirmation screen reporting easier,12
FB0003,2026-04-03T09:16:59Z,USER058,H010,Bedfordview,Gauteng,3,Incident Reporting,I was unsure whether my report had been submitted successfully despite having a stable internet connection. A clear confirmation screen would make reporting easier. This area mainly receives home invasion warnings.,iOS,resolved,mock,unsure whether report submitted successfully despite stable internet connection clear confirmation screen reporting easier home invasion warnings,17
FB0004,2026-04-03T14:45:16Z,USER172,H010,Bedfordview,Gauteng,5,Positive Experience,The neighbourhood chat helped residents coordinate effectively while keeping the community informed. I would recommend this feature to other neighbourhood groups. This area mainly receives home invasion warnings.,Android,resolved,mock,neighbourhood chat helped residents coordinate effectively keeping community informed recommend feature neighbourhood groups home invasion warnings,16
FB0005,2026-04-04T01:59:36Z,USER174,H007,Garsfontein,Gauteng,2,Safety Alerts,Several alerts appeared together instead of arriving in real time when residents needed immediate information. Please make urgent notifications faster and more reliable.,Web,new,mock,several alerts appeared together instead arriving real time residents needed immediate information urgent notifications faster reliable,16
FB0006,2026-04-04T05:02:21Z,USER092,H007,Garsfontein,Gauteng,2,Safety Alerts,The safety alert arrived long after the incident was reported when residents needed immediate information. Critical warnings should be prioritised over ordinary updates.,Web,new,mock,safety alert arrived long incident reported residents needed immediate information critical warnings prioritised ordinary updates,15
FB0007,2026-04-04T13:37:19Z,USER030,H005,Sea Point,Cape Town,3,Location Accuracy,The street name and map marker did not match which made the warning confusing. Showing both the street and nearest landmark would improve accuracy.,Mobile Web,reviewed,mock,street name map marker match made warning confusing showing street nearest landmark accuracy,13
FB0008,2026-04-04T15:06:18Z,USER036,H003,Bryanston,Gauteng,3,Community Chat,It is difficult to distinguish verified updates from general discussion although moderation controls are still needed. Verified security updates should be visually distinct. This area mainly receives home invasion warnings.,Web,reviewed,mock,difficult distinguish verified updates general discussion although moderation controls still needed verified security updates visually distinct home invasion warnings,19
FB0009,2026-04-04T19:00:51Z,USER046,H005,Sea Point,Cape Town,3,Location Accuracy,A nearby incident was assigned to the wrong community causing unnecessary concern in another neighbourhood. Allow reporters to adjust the pin before submitting. This area mainly receives vehicle theft warnings.,Web,resolved,mock,nearby incident assigned wrong community causing unnecessary concern another neighbourhood allow reporters adjust pin submitting vehicle theft warnings,18
FB0010,2026-04-05T02:34:50Z,USER013,H002,Somerset West,Cape Town,2,Community Chat,The chat helped residents share information about a recent concern without requiring a separate messaging application. Verified security updates should be visually distinct. This area mainly receives home invasion warnings.,Android,reviewed,mock,chat helped residents share information recent concern without requiring separate messaging application verified security updates visually distinct home invasion warnings,20
